tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06065042739""","""Riverside-San Bernardino-Ontario, CA""",4.00,8714.00,2122.00,2469.97,59,73,61,35,43,37,24,29,24,7.90,14.04,2.21,2,2,22035,21838,20546,1,1,1,19347,18969,18010,13501,13173,12566,5794,5742,5402,53,54,42,51,53,41,2.4,2.1,0.86,13317,98,10348,44,23,2348,2810,,83,17
"""06065042740""","""Riverside-San Bernardino-Ontario, CA""",2.00,1877.00,1094.00,313.10,47,58,49,24,30,26,23,28,23,5.08,18.08,2.12,2,2,21297,21100,19808,1,1,1,18589,18210,17257,12960,12632,12025,5600,5548,5208,30,30,24,29,30,23,4.9,3.6,3.49,14559,73,10306,42,14,1616,1634,1095,90,10
"""06065042741""","""Riverside-San Bernardino-Ontario, CA""",2.00,2340.00,1438.00,446.29,42,52,44,21,26,22,22,26,22,4.44,14.33,2.01,2,2,19623,19426,18134,2,3,2,17552,17175,16204,12287,11959,11352,5160,5108,4768,105,108,83,102,105,82,6.2,3.8,3.22,16584,52,10570,42,12,1393,1371,1480,79,21
"""06065042742""","""Riverside-San Bernardino-Ontario, CA""",2.00,6726.00,1936.00,1294.14,59,73,61,35,44,38,23,28,23,7.36,11.04,2.16,2,2,20918,20721,19429,2,2,2,18778,18400,17437,13203,12875,12268,5500,5449,5109,75,77,60,73,75,58,3.3,3.3,1.50,15765,85,14030,43,25,2392,2443,2163,82,18
"""06065042743""","""Riverside-San Bernardino-Ontario, CA""",1.00,4498.00,1257.00,2589.31,63,78,66,38,48,41,25,30,25,8.28,4.02,2.28,2,2,22508,22311,21019,1,1,1,19933,19554,18601,13986,13658,13051,5918,5867,5527,29,29,23,28,29,22,2.3,2.3,0.49,13560,93,11859,44,46,2590,2633,2016,93,7
"""06065042744""","""Riverside-San Bernardino-Ontario, CA""",2.00,4504.00,1044.00,9050.98,54,67,57,29,37,32,25,30,25,8.76,3.24,2.25,2,2,23688,23491,22199,0,0,0,19994,19615,18664,13749,13421,12814,6229,6177,5837,16,17,13,16,17,13,2.4,2.1,0.12,6626,82,6779,44,66,1989,2195,1430,76,24
"""06065042745""","""Riverside-San Bernardino-Ontario, CA""",3.00,6804.00,2318.00,9446.89,50,62,52,25,32,27,24,30,25,7.34,3.79,2.24,2,2,23051,22854,21562,1,1,1,19827,19448,18493,13730,13402,12795,6061,6009,5670,36,37,29,35,36,28,2.2,2.8,0.25,7867,87,6343,43,80,1703,1708,1309,80,20
"""06065042746""","""Riverside-San Bernardino-Ontario, CA""",2.00,4128.00,947.00,213.35,51,63,53,29,36,31,23,28,23,7.75,37.75,2.11,2,2,20131,19934,18642,2,2,2,18281,17904,16936,12899,12570,11964,5293,5241,4902,89,92,71,87,90,70,4.3,5.1,4.44,15808,98,16315,43,8,1927,1858,2156,78,22
"""06065042747""","""Riverside-San Bernardino-Ontario, CA""",3.00,4373.00,1031.00,928.14,49,61,51,27,34,30,22,27,22,7.43,34.18,2.02,2,2,19699,19502,18210,2,2,2,17632,17254,16288,12367,12039,11432,5180,5128,4788,85,87,68,83,85,66,3.0,5.0,1.11,14398,68,14516,43,28,1849,2132,1011,58,42
"""06065042748""","""Riverside-San Bernardino-Ontario, CA""",3.00,5462.00,1764.00,1504.93,63,78,66,39,49,42,24,29,24,7.97,10.05,2.17,2,2,22859,22662,21369,0,0,0,19330,18951,18001,13304,12976,12369,6011,5959,5619,16,17,13,16,16,12,3.4,1.4,1.17,12956,83,9897,46,23,2646,2957,1377,73,27
"""06065042749""","""Riverside-San Bernardino-Ontario, CA""",3.00,4659.00,1497.00,814.89,53,66,55,30,38,33,23,28,23,7.34,19.21,2.07,2,2,21575,21378,20086,1,1,1,18385,18006,17050,12670,12342,11736,5673,5621,5281,41,42,33,40,41,32,3.5,2.4,1.84,10158,73,10499,46,16,2042,1826,667,54,46
"""06065042750""","""Riverside-San Bernardino-Ontario, CA""",2.00,3380.00,1009.00,3656.97,60,75,63,35,44,38,25,31,25,8.03,2.22,2.30,2,2,23876,23679,22387,1,1,1,20392,20012,19061,14095,13767,13160,6278,6226,5887,19,19,15,18,18,14,2.2,1.1,0.28,11380,91,10914,47,58,2365,2695,1164,80,20
"""06065042751""","""Riverside-San Bernardino-Ontario, CA""",3.00,6134.00,2266.00,541.17,50,62,52,29,36,31,22,26,22,6.14,26.26,2.01,2,2,19617,19420,18128,2,2,2,17548,17171,16203,12296,11968,11361,5158,5107,4767,94,96,75,92,94,73,5.2,4.3,4.19,16508,75,11007,41,12,1926,2033,552,65,35
"""06065042752""","""Riverside-San Bernardino-Ontario, CA""",3.00,4718.00,2091.00,1761.37,49,61,52,26,33,28,23,28,23,6.03,8.27,2.14,2,2,21370,21173,19881,1,1,1,18754,18375,17421,13100,12772,12165,5619,5567,5228,35,36,28,35,36,28,3.5,3.3,1.19,15980,84,10821,42,28,1780,1774,997,78,22
